Awardee ID,Name,Type
AZ_TUCSON,Arizona,HPO
CAL_PMC,California Precision Medicine Consortium,HPO
CHEROKEE,Cherokee Health Systems,FQHC
COLUMBIA,New York,HPO
COMM_HEALTH,"Community Health Center, Inc",FQHC
EAU_CLAIRE,Eau Claire Cooperative Health Center,FQHC
STSI,Scripps Translational Science Institute,DV
HRHCARE,"Hudson River Health Care, Inc.",FQHC
ILLINOIS,Illinois,HPO
JACKSON,Jackson-Hinds Comprehensive Health Center,FQHC
NE_PMC,New England Precision Medicine Consortium,HPO
PITT,Pittsburgh,HPO
SAN_YSIDRO,San Ysidro Health Center,FQHC
SEEC,Southeast Enrollment Center,HPO
SOUTHERN,Southern Consortium,HPO
TEST,Test Awardee,UNSET
TRANS_AM,Trans-American Consortium for the Health Care Systems Research Network (TACH),HPO
UNSET,No organization set,UNSET
VA,United States Department of Veteran Affairs,VA
WISCONSIN,Wisconsin Consoritum ,HPO